ID,text,polarity,favorite_count,retweet_count,user_followers_count,user_friends_count,user_favourites_count,user_statuses_count,user_verified,user_has_extended_profile,user_is_translator,user_protected,user_default_profile
22,"Además, existe la preocupación de que la IA pueda perpetuar y ampliar las desigualdades sociales existentes. Por ejemplo, si un algoritmo de aprendizaje automático se entrena en un conjunto de datos que contiene prejuicios, puede reproducir esos prejuicios en sus decisiones.",N,0,0,6,123,8,17,0,1,0,0,1
23,"Para abordar estas preocupaciones éticas, es importante que los desarrolladores de tecnología de IA trabajen con expertos en ética y adopten enfoques de ""seguridad por diseño"".",NEU,0,0,6,123,8,17,0,1,0,0,1
24,"Es decir, que las preocupaciones éticas y de seguridad se consideren desde el principio del desarrollo de la tecnología y no se agreguen como una ocurrencia tardía.
La ética en la inteligencia artificial es un tema cada vez más relevante a medida que la tecnología",NEU,0,0,6,123,8,17,0,1,0,0,1
25,se vuelve más avanzada y se utiliza en más ámbitos. Es importante abordar estas preocupaciones éticas desde el principio para garantizar que la IA se utilice de manera responsable y beneficiosa para la sociedad en su conjunto.,NEU,1,0,6,123,8,17,0,1,0,0,1
26,"#InteligenciaArtificial
#IA
#MachineLearning
#AprendizajeAutomático
#DeepLearning
#AprendizajeProfundo
#NeuralNetworks
#RedesNeuronales
#Robótica
#AIethics
#ÉticaenIA
#AIforGood
#IAparaelBien
#FutureTech
#TecnologíadelFuturo
#BigData
#DatosMasivos
#IoT
#InternetdeLasCosas",NEU,1,0,6,123,8,17,0,1,0,0,1
27,"Por favor ya los dominicanos estamos hartos de ciertos conceptos que se ponen de moda en la sociedad, en una época fue la capitalización de las empresas públicas y se desapareció por completo el patrimonio del pueblo dominicano y ahora le tocaturno a la inteligencia artificial.",N,3,1,797,1416,9455,3400,0,0,0,0,1
28,"@TitoCarvajal7 Son tendencias estúpidas
A principios de 2022 Metaverso, un año después casi quiebra la empresa META 😅

Igual con Bitcoin y crypto monedas, luego El Salvador pierde millones de dólares en esa aventura, sin contar los diversos esquemas de fraude. 🤑

Hoy es ChatGPT, IA 🤣😅",N,1,0,798,468,21511,14677,0,0,0,0,1
29,"Toma ya! Si es que se veia venir... tanta mala publicidad hacia #OpenAI #ChatGPT era por esto jaja
https://t.co/9DBKNe6y6z",NEU,1,0,305,1904,18893,5181,0,1,0,0,0
30,"@mrxewy_88 La guerra ha comenzado, veremos cómo acaba todo esto amigo 🫣",NEU,0,0,1178,99,4045,3685,0,1,0,0,0
31,"@healthy_pockets Musk es uno de los co-fundadores de OpenAI, pero se retiró de la mesa directiva en el 2018. 

La inteligencia artificial si puede llegar a ser peligrosa si no se desarrolla con cuidado, que es lo que esta pasando actualmente con muchas empresas queriendo sacar dinero de esa… https://t.co/DxIWkCHvzs",NEU,4,0,1848,121,569,1559,0,1,0,0,1
32,@stevenbravo_ @healthy_pockets Cuando el río suena es por qué el agua viene fuerte. @elonmusk  nunca pelea a favor de algo. Solo pelea y crítica cuando sus activo están afectados o encuentra un rival fuertemente,N,0,0,72,235,637,1801,0,0,0,0,1
33,"Elon Musk lanza su propia compañía de inteligencia artificial, X AI: qué sabemos de su plan para competir con OpenAI https://t.co/mMgqAsQqPj vía @xataka",NEU,4,1,24042,484,192,35895,1,1,0,0,0
34,"@HackHispano @xataka Este señor primero pide que no siga el desarrollo de la inteligencia artificial y luego, crea una empresa que tiene ese énfasis. Es muy contradictorio sus acciones.",N,0,0,36,193,1606,1511,0,1,0,0,0
35,"⚡️LO ULTIMO: El impacto de la Inteligencia Artificial en la industria de la ilustración en China.

¿ Como dos personas ahora pueden realizar el trabajo que antes requería diez ?

Abro Hilo 👇

#IA #InteligenciaArtificial https://t.co/iGGTfTlkTz",NEU,0,0,32,122,109,159,0,1,0,0,1
36,"2/ Debido a la alta calidad de las obras de arte producidas por IA, muchos ilustradores están perdiendo sus trabajos frente a generadores de imágenes de IA como Midjourney, Stable Diffusion y DALL-E 2.",N,0,0,32,122,109,159,0,1,0,0,1
37,"3/ Un ejemplo, la ilustradora ""Amber Yu"" que solía cobrar entre 400 y 950 dólares por cada póster de videojuegos que dibujaba, pero que ahora las empresas pueden crearlas en cuestión de segundos con la ayuda de la IA. Como resultado, ahora gana una décima parte de su tarifa.",N,0,0,32,122,109,159,0,1,0,0,1
38,"Compartimos el informe de Accenture que explora cómo la tecnología transformará la forma de trabajar y vivir de las personas, a medida que los mundos físico y digital se vinculan y fusionan cada vez más. https://t.co/2hrex48RZL",NEU,1,1,607,210,11853,17562,0,1,0,0,0
39,"@alelocicero Por dónde empezamos...ya tengo mí aplicación de 
https://t.co/TxVbP2c6aX",NEU,0,0,66,161,1433,6998,0,1,0,0,1
40,"• Las empresas pueden maximizar sus ingresos y minimizar sus costos a través del uso de la inteligencia artificial

Aumento de ingresos:
- Marketing y ventas (70%)
- Desarrollo de productos (70%)

Disminución de costos:
- Gestión de la cadena de suministro (52%)
- Operaciones de… https://t.co/UhmpXB5n6V https://t.co/cRZPJCswkW",P,2,0,4057,802,4907,1155,0,1,0,0,1
41,Aquí pueden leer el reporte completo: https://t.co/RX5GhQdFdi,NEU,1,0,4057,802,4907,1155,0,1,0,0,1
42,"• Por primera vez desde 2013, la inversión corporativa global y privada en inteligencia artificial ha disminuido año tras año. https://t.co/VighL1WTTV",NEU,0,1,4057,802,4907,1155,0,1,0,0,1
43,"• Una mayor proporción de encuestados cree que la IA ayudará en su mayoría (39%), en comparación con una proporción más pequeña que cree que hará daño (28%). https://t.co/DBMeUHUHfy",NEU,0,0,4057,802,4907,1155,0,1,0,0,1
44,Hay empresas que están despidiendo a ilustradores para usar inteligencia artificial: dos personas hacen lo que antes diez https://t.co/uCpY4JZjrQ https://t.co/es2Y9nvkM6,N,7,3,695220,24,0,67693,0,0,0,0,0
45,"@genbeta Es una putada para el que pierde el curro, pero es lo que hay…",N,0,0,1,101,1933,2290,0,1,0,0,0
46,La nueva crisis de la industria musical sera por la inteligencia artificial. Así como en el pasado lo fue la piratería/ Internet,N,12,1,9699,139,9725,5884,1,1,0,0,0
47,@IamArguello De la humanidad primo,NEU,1,0,1681,688,10979,16547,0,0,0,0,0
48,"La industria de la música ha comenzado a considerar como un serio riesgo a la música generada a partir de #IA... 😨
https://t.co/W0EmBhNBDq",N,0,0,431,40,913,797,0,1,0,0,1
49,"Bienvenidos al nuevo ""Informe de transparencia"" de #NEAR 😎
https://t.co/gk9wRO6I2Q",P,1,1,431,40,913,797,0,1,0,0,1
50,"1️⃣ Analíticas avanzadas: permiten personalizar y
mejorar marketing e incrementar retorno de inversión

2️⃣ Comercio Digital: Uso de Inteligencia Artificial para
mejorar las recomendaciones de productos y promociones
⬇️

#GoogleCloud #Cloud #TechNews",P,0,0,15,393,29,232,0,1,0,0,1
51,"3️⃣ Innovación: analíticos inteligentes que te ayudan a
conocer tendencias y opiniones de clientes

4️⃣ Elimina los silos de datos con transferencia de datos
desde múltiples plataformas

5️⃣ Protege la información personal de tus clientes
⬇️

#GoogleCloud #Cloud #TechNews",P,0,0,15,393,29,232,0,1,0,0,1
52,"Caso de éxito:

#UltaBeauty ha revolucionado la forma en que
sus clientes compran maquillaje con GLAMlab,
permite a sus clientes probar virtualmente los
productos y #GoogleCloud les permite acceder
fácilmente a sus datos y crear experiencias personalizadas
⬇️

#Cloud #TechNews",P,0,0,15,393,29,232,0,1,0,0,1
53,"¡Potencia la transformación digital de tu empresa con la Plataforma de Datos de Clientes de Google Cloud!

Lee el articulo completo aquí

https://t.co/RDvbmzae48

#GoogleCloud #Cloud #TechNews",P,0,0,15,393,29,232,0,1,0,0,1
54,Una idea de negocio es desarrollar un asistente virtual impulsado por inteligencia artificial. Puedes ofrecerlo a empresas y particulares que deseen mejorar la eficiencia y precisión de sus respuestas. Es especialmente útil para empresas que buscan mejorar su atencion a clientes.,P,0,0,412,50,18700,4966,0,1,0,0,1
55,Tambien puedes desarrollar una plataforma de ecomerce impulsada por IA. La plataforma puede ofrecer recomendaciones de productos personalizadas y sugerencias de precios basadas en el comportamiento del comprador. Esto mejorará la experiencia de compra del cliente. #emprende,P,0,0,412,50,18700,4966,0,1,0,0,1
56,"@_MistWolf_ Parece q no se dan cuenta q esto afecta a todos, incluidas las empresas

Tanto desempleo generado por la inteligencia artificial hará q disminuya drásticamente el número de consumidores 
o q, por lo menos, disminuya la capacidad d consumo de quienes no queden desempleados 

A👇",N,2,1,32,83,682,867,0,1,0,0,1
57,@_MistWolf_ A quién beneficiaría la crisis económica derivada de una situación generada por millones de desempleados o disminuidos severamente en su capacidad adquisitiva?,NEU,2,1,32,83,682,867,0,1,0,0,1
58,"@gus1843 Igual y no creo que ocurra de la noche a la mañana, creo que exagera un poco el chico del video.",NEU,1,0,15798,13610,129576,167696,0,1,0,0,1
59,"@_MistWolf_ Celebro tu optimismo. Yo también quisiera serlo

Pero lamentablemente ya está ocurriendo

Quisiera estar muy equivocado en que, 
en lugar de caminar hacía el pleno empleo, el mundo empieza a caminar hacia el desempleo 

En el corto-mediano plazo será grave el problema",N,0,0,32,83,682,867,0,1,0,0,1
60,"#Opinión | A medida que la Inteligencia Artificial avanza, las imágenes creadas se están volviendo más realistas, lo que plantea la pregunta de cómo esto afectará a la industria de modelos y creadores de contenido humano.

🖋️ @RobertoBaez 

https://t.co/SwsdzPSZQx",NEU,2,1,7652,91,791,30720,1,0,0,0,1
61,@BusInsiderMX @RobertoBaez El problema radica en quién las consume..,NEU,0,0,122,82,2114,2482,0,1,0,0,1
62,3) Ya hubo iniciativas en este sentido (Rigoberta del IIC) pero es necesario que exista una inversión de dinero y poner en marcha muchos más equipos de investigación de diversas universidades españolas (https://t.co/VbgnpfsK32),NEU,0,0,1422,1141,8081,19045,0,0,0,0,0
63,"4) Esta iniciativa podría entroncar con otras desde la UE que refuercen su independencia tecnológica, creando modelos open source y que supongan la capacidad de desarrollo que necesita. Recordemos que Francia tiene grandes expertos en IA",NEU,0,0,1422,1141,8081,19045,0,0,0,0,0
64,"En resumen: hay que coordinar esfuerzos, marcar objetivos e invertir mucho dinero (en ese orden mejor). Si no lo hacemos, dependeremos siempre de países o peor aún, de empresas que tengan sus propios intereses",NEU,0,0,1422,1141,8081,19045,0,0,0,0,0
65,"En éste artículo no sólo te cuento cuáles empresas son, sino un análisis comparativo de todas las características entre cada ETF para que tengas el panorama completo y te ayude a tomar una decisión mucho más informada 👇🏽https://t.co/ZLifBhE2Dq",NEU,1,0,94,75,253,913,0,1,0,0,1
66,"Y para que estés siempre actualizado de nuevos posts en el Blog así como recibir información exclusiva para suscriptores, entra al Newsletter gratuito (aún) y por ahora recibe GRATIS el eBook ""La Escalera del Éxito Financiero"" 👉🏽 https://t.co/JRDWt6AoiZ",NEU,1,0,94,75,253,913,0,1,0,0,1
67,Hay empresas que están despidiendo a ilustradores para usar inteligencia artificial: dos personas hacen lo que antes diez https://t.co/Zw0laEjw5i,N,0,0,4010,3512,2304,155083,0,1,0,0,0
68,@svil3 A mi me llamó la atención las manos 🤤🤤🤤 qué bonitas,P,0,0,2761,1397,39925,33546,0,1,0,0,0
69,"@vio_millan hahaha muy ""esbeltas""",NEU,0,0,4010,3512,2304,155083,0,1,0,0,0
70,@svil3 Andaleeeee,NEU,0,0,2761,1397,39925,33546,0,1,0,0,0
71,Lee el último artículo de nuestro CEO @rokensa para @Forbes_Agency  sobre la combinación de la Inteligencia Artificial y Metaverso y cómo ésta ha desbloqueado una era de crecimiento e innovación para las empresas. #Forbes #AI #RodolfoSalazar,P,1,1,146,4,12,114,0,1,0,0,1
72,Encuéntralo aquí: https://t.co/cpLRrM3Hrz,NEU,1,0,146,4,12,114,0,1,0,0,1
73,"Inteligencia Artificial, uno de los temas tendencias no solo en las empresas sino para la comunidad en general es el centro temático de la plenaria CUEE que se realiza hoy en Ruta N. También puedes conectarte a 👇🏻 https://t.co/QRwb8aBCTX https://t.co/c0zbP1bLP4",NEU,8,1,17827,1256,3358,25573,0,0,0,0,0
74,"Alejandro López, cofundador y CEO de Vozy Inc., Es el encargado de abrir las presentaciones de la plenaria liderada por el Comité Universidad Empresa Estado CUEE. #CUEE2_0, un espacio de diálogo para compartir experiencias alrededor de la Ciencia, Tecnología e Innovación https://t.co/TjhmpDGxIY",NEU,2,0,17827,1256,3358,25573,0,0,0,0,0
75,"""La tecnología no reemplaza humanos, los reubicar dónde realmente pueden agregar valor"", señaló Alejandro López en su intervención durante la plenaria mensual CUEE.
#CUEE2_0 https://t.co/v8lvsQRhc3",NEU,2,0,17827,1256,3358,25573,0,0,0,0,0
76,"Daniel Mesa, CEO de Human Living Data, explica que a través de los datos desarrollaron una filosofía diferente a lo que tradicionalmente se hacía. ""Tratamos de priorizar los datos para que se establezcan objetivos comunes, a través de la Inteligencia Artificial. #CUEE2_0 https://t.co/t5w2b9MMZs",NEU,1,0,17827,1256,3358,25573,0,0,0,0,0
77,"Robert Parada, socio y cofundador de COCO Tecnologías presenta su conferencia: Inteligencia Artificial para salvar vidas. Destaca que estás herramientas son mucho más precisas a la hora de generar un diagnóstico de salud y s convierte en un aliado para la prevención y bienestar. https://t.co/hVKTjJKdXa",P,0,0,17827,1256,3358,25573,0,0,0,0,0
78,"""Coco Tecnologías hoy en día es ""resultado del apoyo de políticas públicas, de Universidades, etc. El mensaje es que estas alianzas entre Universidad Empresa Estado sí funciona y tiene que seguir adelante"". Robert Parada, CEO. https://t.co/u7JpxkAMQc",NEU,0,0,17827,1256,3358,25573,0,0,0,0,0
79,"Juan Sebastián Castrillón, gerente de Estratek Ventures, habla sobre la apuesta por las startups frendly. ""Nuestro propósito es acercarnos más a los emprendimientos"". #CUEE2_0 https://t.co/8ds5AWxnRK",P,0,0,17827,1256,3358,25573,0,0,0,0,0
80,"""No solo le vendemos al emprendedor sino que co-creamos con ellos. Tenemos una variedad de servicios y acompañamientos"" señaló Juan Sebastián Castrillón.#CUEE2_0 https://t.co/StUVq2POBR",P,0,0,17827,1256,3358,25573,0,0,0,0,0
81,"El modelo de Inteligencia Artificial para la exportar palma de aceite, una proyecto I+D+i en articulación con la Universidad Empresa Estado. Presenta Isos Bonet Cruz, docente e investigadora de la Universidad EIA. #CUEE2_0 https://t.co/aA08wFYIrD",NEU,0,0,17827,1256,3358,25573,0,0,0,0,0
82,"@inma_martinez, directora del Máster en #InteligenciaArtificial ha abierto @OnIndustry con su conferencia inaugural sobre la potencialidad de la Inteligencia Artificial para crear innovación y ventaja competitiva en el sector industrial 🙌 

Léelo aquí 👇 
https://t.co/ADd2EVkpaM https://t.co/WEInBKfD72",P,3,1,3689,546,3233,8359,0,0,0,0,0
83,"José Luis Endrino, director del Máster Universitario en Industria Avanzada, ha presentado el programa y el claustro del Máster, que comenzará a impartirse en @LoyolaAnd a partir del curso 23/24 y los avances académicos en el grupo de investigación 'Materiales y Sostenibilidad’ 🔝 https://t.co/53iHWNR1jx",NEU,1,2,3689,546,3233,8359,0,0,0,0,0
84,"La Inteligencia Artificial está transformando la moda 🤖👗¿Alguna vez te preguntaste cómo la tecnología está cambiando el mundo de la moda? En este podcast, Panni Margot, un creador de moda, nos muestra cómo la Inteligencia Artificial está transformando la industria.",P,0,0,1192,31,950,982,0,0,0,0,1
85,"Desde la creación de ilustraciones hasta la generación de diseños, la IA está abriendo nuevas posibilidades en el mundo de la moda. ¡No te pierdas este episodio para descubrir cómo los creadores de moda pueden utilizar la IA para ofrecer experiencias únicas a los consumidores!",P,0,0,1192,31,950,982,0,0,0,0,1
86,"Mirá el podcast completo en YouTube 🚀😎  https://t.co/w0akSkqCHb 

#moda #InteligenciaArtificial #creatividad #podcast",NEU,0,0,1192,31,950,982,0,0,0,0,1
87,"@martindelp Reemplaza modelos matemáticos por “algoritmo”, reemplaza Chat GPT por “inteligencia artificial”, pásalo a Google Slides y básicamente estás listo para levantar fondeo de algún fondo de inversión de riesgo :)",NEU,3,1,566,1575,1101,5489,0,1,0,0,0
88,@abustamanteg Jajajaja,NEU,0,0,51955,1539,175574,247282,1,1,0,0,0
89,"#OjoVivo
La empresa https://t.co/4mx6U2MA96 #AI es de los mayores beneficiarios del interés en inteligencia artificial. Es una de las pocas empresas que ofrece exposición directa al desarrollo de productos basados en inteligencia artificial. 
1/2
👇🏻 https://t.co/qB4jU1pJHX",P,2,0,13530,13510,6688,24556,0,0,0,0,0
90,"Analistas DA Davidson la ven como innovadora y la compararon con primeros productos disruptivos #Microsoft. https://t.co/4mx6U2MA96 tiene acuerdos con gigantes/tecnologia como AmazonWeb Services y GoogleCloud, identificando más de 350 nuevas aplicaciones empresariales  en 4T/22 https://t.co/QphgqEHPVY",P,1,0,13530,13510,6688,24556,0,0,0,0,0
91,"La conferencia se centrará en temas relacionados con la tecnología:  
✅Blockchain 
✅Cryptocurrency 
✅Finanzas Descentralizadas 
✅NFT’s 
✅Metaverso 
✅Inteligencia Artificial 
✅DApps 
✅Startups 
✅Fintech &amp; VC’s

#PerúBlockchainConference23 #Blockchain #Web3 #Metaverso #IA",NEU,0,0,656,224,222,1043,0,0,0,0,1
92,"Los asistentes tendrán la oportunidad de conocer a líderes del ecosistema e intercambiar ideas que podrían influir en el futuro de la tecnología y el sistema financiero 🏦🚀

⚠️Usa nuestro código: SHIFT (Así podrás obtener un 20% de descuento, válido hasta el lunes 17 de abril)",P,0,0,656,224,222,1043,0,0,0,0,1
93,"A medida que avanza con rapidez el mundo digital, muchas empresas miran de manera cautelosa la implementación de la inteligencia artificial (IA) en los puestos de trabajo más tradicionales. #IA #ChatGPT https://t.co/CH05DojZa2",NEU,2,1,144,402,1003,410,0,0,0,0,0
94,"Sin embargo, en el debate público se está demostrando que herramientas como ChatGPT o Bard, el chatbot de Google, son aplicaciones eficientes que pueden lograr una aportación positiva y ágil como minimizar el tiempo de ejecución en tareas de relevancia media o baja. #Mundodigital",P,0,0,144,402,1003,410,0,0,0,0,0
95,"Sabemos que habilidades como el pensamiento crítico o la creatividad, son irreemplazables, pero comprender el alcance que tienen estas herramientas es esencial para los puestos de trabajo del futuro. #InteligenciaArtificial #Desafíos #Espaciolaboral",NEU,1,0,144,402,1003,410,0,0,0,0,0
96,"La inteligencia artificial (IA) está revolucionando la industria en muchos aspectos, y la seguridad industrial no es una excepción. En Argentina, la IA está siendo utilizada para mejorar la seguridad en las fábricas y reducir el riesgo de accidentes. 

Abrimos hilo 🧵👇",P,0,0,554,3103,1490,2276,0,0,0,0,0
97,Una de las aplicaciones más interesantes de la IA en #SeguridadIndustrial es el monitoreo y análisis 📊 en tiempo real de los procesos industriales. https://t.co/tveuKge1eJ,P,0,0,554,3103,1490,2276,0,0,0,0,0
98,"La IA puede analizar grandes cantidades de datos de sensores y dispositivos en la planta de fabricación, identificando patrones y alertando a los trabajadores y supervisores sobre cualquier problema potencial.",NEU,0,0,554,3103,1490,2276,0,0,0,0,0
99,"☝️ Además, la IA también puede utilizarse para predecir y prevenir accidentes, analizando datos históricos y patrones para identificar situaciones que puedan generar riesgos. https://t.co/aWbS7QBecw",NEU,0,0,554,3103,1490,2276,0,0,0,0,0
100,Esto permite a las empresas tomar medidas preventivas para reducir el riesgo de accidentes y garantizar la seguridad de los trabajadores.,P,0,0,554,3103,1490,2276,0,0,0,0,0
101,"Otra aplicación de la IA en seguridad industrial es la formación y capacitación de los trabajadores 🤓. 
Puede ser utilizada para crear simulaciones virtuales que permiten a los trabajadores aprender y practicar situaciones peligrosas sin estar expuestos a riesgos reales.",NEU,0,0,554,3103,1490,2276,0,0,0,0,0
102,"En resumen, la IA está teniendo un impacto significativo en la #SeguridadIndustrial en Argentina y en todo el mundo. Las empresas pueden aprovechar esta tecnología para mejorar la seguridad en las fábricas y garantizar un ambiente de trabajo más seguro para sus empleados. https://t.co/gwCogtbeYH",P,0,0,554,3103,1490,2276,0,0,0,0,0
103,"¿Cómo utiliza Grupo Renault, #Cloud SQL?

Muchas empresas no saben cómo la Inteligencia
Artificial (IA) les puede ayudar. Las barreras entre
los datos y el aprendizaje automático continúan
frenando la innovación.

Una empresa que ha adoptado la #IA con éxito
es Grupo #Renault ⬇️ https://t.co/3CLTia55fX",NEU,1,0,15,393,29,232,0,1,0,0,1
104,"Grupo #Renault y #Google tienen la capacidad de realizar
este tipo de operaciones.

Con #IA, las empresas pueden:

✔️Predecir el abandono
✔️Segmentar la audiencia
✔️Calcular el valor del tiempo de vida
✔️Detectar anomalías
✔️Prever la demanda

#CloudComputing
⬇️",NEU,0,0,15,393,29,232,0,1,0,0,1
105,"El desconocimiento del uso de #IA dentro de las
empresas es una de las barreras más importantes
para la adopción de la tecnología

Muchas empresas pueden carecer de los recursos
necesarios para contratar y retener a expertos en IA.

#CloudComputing
⬇️",NEU,0,0,15,393,29,232,0,1,0,0,1
106,"Problemas después de la implementar #IA:

➡Modelos que no llegan a producción
➡Alto grado de trabajo manual y puntual
➡Malas transferencias entre los científicos de datos y TI
➡Modelos que se rompen porque no logran adaptarse a los cambios del entorno

#CloudComputing
⬇️",N,0,0,15,393,29,232,0,1,0,0,1
107,"Existen soluciones de #IA impulsadas por #Google que
pueden ayudar a las empresas a superar estas barreras y aprovechar los beneficios de la IA.

Conócelas en nuestro articulo:
https://t.co/Md3Pl7cGss

#AlpineF1 #Renault #CloudComputing #PaLM540B",P,0,0,15,393,29,232,0,1,0,0,1
108,"He ENGAÑADO con Inteligencia Artificial a estas Empresas:
https://t.co/edJUBEZ5Gx https://t.co/o9rk64Sawt",NEU,10,5,155,266,14985,5088,0,1,0,0,1
109,@AmayusculaTV ¿Y qué pasará si esas empresas ven tu vídeo?,NEU,0,0,125,710,49240,5663,0,1,0,0,0
110,@Chuskitin https://t.co/PBfWvTNlXr,NEU,1,0,155,266,14985,5088,0,1,0,0,1
111,"📌 Las universidades de A Coruña (@UDC_gal) y Santiago (@UniversidadeUSC) se alían con IndesIA (@IndesiaOrg) para la mejora de la formación su alumnado en inteligencia artificial y big data.

https://t.co/eEE17mVlyT",P,1,0,4792,1549,7815,49727,0,1,0,0,0
112,@DirigentesDg @UDC_gal @UniversidadeUSC @IndesiaOrg Hay personas que no   entienden según que terminología o conceptos y comprometido con la   #EducaciónFinanciera publiqué un artículo donde se explica  https://t.co/tfbYYwSI5r,NEU,0,1,540,2126,355,26203,0,1,0,0,1
113,"@UDC_gal @UniversidadeUSC @IndesiaOrg 👉 IndesIA, la asociación que promueve la aplicación de la inteligencia artificial (IA) en la industria, ha firmado un acuerdo de colaboración con las dos instituciones académicas gallegas para impulsar su oferta de formación en big data e IA",NEU,1,0,4792,1549,7815,49727,0,1,0,0,0
114,¿Están preparadas las empresas gallegas para la inteligencia artificial? https://t.co/bx6ax3LQmX,NEU,1,1,921,11,1,7873,0,0,0,0,0
115,"@red_tecnologia @lavozdegalicia A ver si para esa están, porque para la de siempre…ya te digo yo que no",N,0,0,138,273,3359,4135,0,1,0,0,1
116,"#LasEmpresasHablan IndesIA (@IndesiaOrg) y la Xunta de Galicia (@Xunta) promueven el uso de la #inteligenciaartificial y el #bigdata en el sector industrial gallego.

https://t.co/vM5na4F0EO",NEU,2,2,4792,1549,7815,49727,0,1,0,0,0
